HomeTeam,AwayTeam,Result
Valladolid,Valladolid,0-1
Valencia,Osasuna,1-1
AtleticoMadr,AtleticoMadr,3-1
Valencia,Elche,1-0
AthleticClub,AthleticClub,1-1
RealMadrid,RealMadrid,2-0
Valencia,CeltaVigo,2-0
Getafe,Getafe,3-0
Valencia,Villarreal,2-1
Levante,Levante,1-0
Valencia,Granada,2-1
Cadiz,Cadiz,2-1
Valencia,RealSociedad,2-2
Valencia,Valencia,4-2
Levante,AtleticoMadr,1-1
Osasuna,Osasuna,1-3
Sevilla,Sevilla,1-0
Levante,RealMadrid,0-2
AthleticClub,AthleticClub,2-0
Levante,CeltaVigo,1-1
Granada,Granada,1-1
Levante,Alaves,1-1
Levante,Elche,1-1
Valladolid,Valladolid,1-1
Levante,Getafe,3-0
Barcelona,Barcelona,1-0
Levante,RealSociedad,2-1
Huesca,Huesca,1-1
Levante,Betis,4-3
Villarreal,Villarreal,2-1
Levante,Eibar,2-1
Cadiz,Cadiz,2-2
Levante,Valladolid,2-2
RealMadrid,RealMadrid,1-2
Levante,Granada,2-2
Levante,Osasuna,0-1
AtleticoMadr,AtleticoMadr,0-2
Levante,AthleticClub,1-1
RealSociedad,RealSociedad,1-0
Levante,Valencia,1-0
Betis,Betis,2-0
Levante,Huesca,0-2
Eibar,Eibar,0-1
Villarreal,Villarreal,1-1
Huesca,Cadiz,0-2
Valencia,Valencia,1-1
Huesca,AtleticoMadr,0-0
Elche,Elche,0-0
Huesca,Valladolid,2-2
RealSociedad,RealSociedad,4-1
RealMadrid,RealMadrid,4-1
Huesca,Eibar,1-1
Osasuna,Osasuna,1-1
Huesca,Sevilla,0-1
Granada,Granada,3-3
Huesca,Alaves,1-0
AthleticClub,AthleticClub,2-0
Huesca,Levante,1-1
CeltaVigo,CeltaVigo,2-1
Huesca,Barcelona,0-1
Huesca,Betis,0-2
Getafe,Getafe,1-0
Huesca,Villarreal,0-0
Valladolid,Valladolid,1-3
Huesca,RealMadrid,1-2
Sevilla,Sevilla,1-0
Huesca,Granada,3-2
Eibar,Eibar,1-1
Huesca,CeltaVigo,3-4
Barcelona,Barcelona,4-1
Huesca,Osasuna,0-0
Levante,Levante,0-2
Huesca,Elche,3-1
Valladolid,Valladolid,1-1
RealSociedad,RealMadrid,0-0
Elche,Elche,0-3
RealSociedad,Valencia,0-1
RealSociedad,Getafe,3-0
Betis,Betis,0-3
RealSociedad,Huesca,4-1
CeltaVigo,CeltaVigo,1-4
RealSociedad,Granada,2-0
Cadiz,Cadiz,0-1
RealSociedad,Villarreal,1-1
Alaves,Alaves,0-0
RealSociedad,Eibar,1-1
Levante,Levante,2-1
RealSociedad,AtleticoMadr,0-2
AthleticClub,AthleticClub,0-1
RealSociedad,Osasuna,1-1
Sevilla,Sevilla,3-2
Barcelona,Barcelona,2-1
RealSociedad,Betis,2-2
Villarreal,Villarreal,1-1
RealSociedad,Cadiz,4-1
Getafe,Getafe,0-1
RealSociedad,Alaves,4-0
RealMadrid,RealMadrid,1-1
RealSociedad,Levante,1-0
Granada,Granada,1-0
RealSociedad,Barcelona,1-6
RealSociedad,AthleticClub,1-1
Valencia,Valencia,2-2
Eibar,Eibar,0-0
CeltaVigo,Valencia,2-1
Valladolid,Valladolid,1-1
CeltaVigo,Barcelona,0-3
Osasuna,Osasuna,2-0
CeltaVigo,AtleticoMadr,0-2
Levante,Levante,1-1
CeltaVigo,RealSociedad,1-4
Elche,Elche,1-1
Sevilla,Sevilla,4-2
CeltaVigo,Granada,3-1
AthleticClub,AthleticClub,0-2
CeltaVigo,Cadiz,4-0
CeltaVigo,Alaves,2-0
Getafe,Getafe,1-1
CeltaVigo,Huesca,2-1
RealMadrid,RealMadrid,2-0
CeltaVigo,Villarreal,0-4
Betis,Betis,2-1
CeltaVigo,Eibar,1-1
Granada,Granada,0-0
AtleticoMadr,AtleticoMadr,2-2
CeltaVigo,Elche,3-1
Valencia,Valencia,2-0
CeltaVigo,Valladolid,1-1
Huesca,Huesca,3-4
CeltaVigo,AthleticClub,0-0
CeltaVigo,RealMadrid,1-3
Alaves,Alaves,1-3
CeltaVigo,Sevilla,3-4
